kind,4_x,4_y,8_x,8_y,12_x,12_y,16_x,16_y,20_x,20_y
paper,-0.059218015521764755,0.001515088602900505,-0.0546831414103508,0.01593380980193615,-0.04124975949525833,0.02865988202393055,-0.03254866600036621,0.028162021189928055,-0.03166797384619713,0.026812180876731873
paper,-0.05758381634950638,-0.0027795929927378893,-0.0499703548848629,0.00218293908983469,-0.04644589498639107,0.025175660848617554,-0.0310404971241951,0.02933819591999054,-0.024397313594818115,0.03003745898604393
paper,-0.05843713507056236,0.001463510561734438,-0.04948791116476059,0.004866710864007473,-0.04149990901350975,0.028856074437499046,-0.02756861224770546,0.03141345828771591,-0.02205623686313629,0.029791440814733505
paper,-0.06564690917730331,-0.0032308120280504227,-0.05484800413250923,0.0016481932252645493,-0.050071969628334045,0.02323158271610737,-0.03510817885398865,0.028829941526055336,-0.03203905373811722,0.02676176279783249
paper,-0.06205004081130028,-0.00020996015518903732,-0.04686346650123596,0.0056304931640625,-0.042308516800403595,0.02657717652618885,-0.029264848679304123,0.029526840895414352,-0.024021277204155922,0.028626058250665665
paper,-0.0679364949464798,-0.0036476287059485912,-0.05183769762516022,0.003388180397450924,-0.0485820434987545,0.024661459028720856,-0.03410552814602852,0.02963690459728241,-0.030282897874712944,0.028068765997886658
paper,-0.06667836010456085,-0.0021113483235239983,-0.04974214732646942,0.00502084381878376,-0.049637798219919205,0.024862363934516907,-0.03615540266036987,0.027484126389026642,-0.031009797006845474,0.027941253036260605
paper,-0.06468983739614487,-0.003754429053515196,-0.05862651392817497,-0.0012538009323179722,-0.0543321892619133,0.023826390504837036,-0.041928812861442566,0.026110079139471054,-0.034505948424339294,0.02857876382768154
paper,-0.06342153251171112,-0.0028843539766967297,-0.05567431449890137,-2.076011151075363e-05,-0.05177036672830582,0.025683686137199402,-0.03969936445355415,0.026181820780038834,-0.033013444393873215,0.02734835259616375
paper,-0.05254904925823212,-0.011512979865074158,-0.05657321959733963,-0.015169888734817505,-0.0606580451130867,0.01099233515560627,-0.04896341264247894,0.016787951812148094,-0.03364602103829384,0.02305641397833824
paper,-0.04104454815387726,-0.011702032759785652,-0.025302553549408913,-0.01493801549077034,-0.03093462623655796,0.005088627804070711,-0.036578960716724396,0.009697447530925274,-0.034210119396448135,0.011604424566030502
paper,-0.04152536764740944,-0.02095961570739746,-0.039765119552612305,-0.021656718105077744,-0.03569686412811279,-0.0013554950710386038,-0.03638067841529846,0.0036759143695235252,-0.029954751953482628,0.015178682282567024
paper,-0.03918842226266861,-0.014652537181973457,-0.040347278118133545,-0.011616526171565056,-0.03791544958949089,0.006468293722718954,-0.04078177735209465,0.013368381187319756,-0.03917284309864044,0.013359655626118183
paper,-0.04875171184539795,-0.02073468640446663,-0.04436724632978439,-0.017381757497787476,-0.042268309742212296,0.010584656149148941,-0.04043196886777878,0.019792750477790833,-0.03463996946811676,0.026415275409817696
